Topology,Try,Node,Sequence Number,Timestamp,States Count
GTSCE,1,s67,1,1663930351180,1
GTSCE,1,s67,1,1663930362511,48
GTSCE,1,s67,2,1663930560468,49
GTSCE,1,s67,2,1663930561089,51
GTSCE,1,s123,1,1663930351471,1
GTSCE,1,s123,1,1663930361975,60
GTSCE,1,s123,2,1663930556465,61
GTSCE,1,s123,2,1663930560746,67
GTSCE,1,s114,1,1663930351796,1
GTSCE,1,s114,1,1663930361853,55
GTSCE,1,s114,2,1663930559840,56
GTSCE,1,s114,2,1663930560932,63
GTSCE,1,s52,1,1663930351091,1
GTSCE,1,s52,1,1663930361651,43
GTSCE,1,s52,2,1663930555821,44
GTSCE,1,s29,1,1663930350948,1
GTSCE,1,s29,1,1663930362046,38
GTSCE,1,s29,2,1663930553341,38
GTSCE,1,s29,3,1663930655723,38
GTSCE,1,s29,4,1663930758331,38
GTSCE,1,s147,1,1663930351631,1
GTSCE,1,s147,1,1663930362441,49
GTSCE,1,s147,2,1663930557085,50
GTSCE,1,s147,2,1663930559624,52
GTSCE,1,s17,1,1663930350777,2
GTSCE,1,s17,1,1663930362184,44
GTSCE,1,s17,2,1663930553260,44
GTSCE,1,s17,3,1663930655576,44
GTSCE,1,s17,4,1663930758155,44
GTSCE,1,s5,1,1663930350640,1
GTSCE,1,s5,1,1663930362325,43
GTSCE,1,s5,2,1663930553119,43
GTSCE,1,s5,2,1663930560395,45
GTSCE,1,s5,3,1663930655389,45
GTSCE,1,s5,4,1663930758043,45
GTSCE,1,s118,1,1663930350846,1
GTSCE,1,s118,1,1663930361905,46
GTSCE,1,s118,2,1663930556142,47
GTSCE,1,s122,1,1663930351878,1
GTSCE,1,s122,1,1663930362506,40
GTSCE,1,s122,2,1663930560288,41
GTSCE,1,s84,1,1663930351445,1
GTSCE,1,s84,1,1663930359348,38
GTSCE,1,s43,1,1663930351365,1
GTSCE,1,s43,1,1663930361602,39
GTSCE,1,s43,4,1663930761544,40
GTSCE,1,s37,1,1663930350954,1
GTSCE,1,s37,1,1663930361444,40
GTSCE,1,s37,2,1663930553465,40
GTSCE,1,s37,3,1663930655779,40
GTSCE,1,s37,4,1663930758364,40
GTSCE,1,s127,1,1663930351372,1
GTSCE,1,s127,1,1663930362007,46
GTSCE,1,s127,2,1663930558035,47
GTSCE,1,s127,2,1663930559426,50
GTSCE,1,s127,3,1663930659427,51
GTSCE,1,s100,1,1663930351242,1
GTSCE,1,s100,1,1663930361760,41
GTSCE,1,s100,2,1663930559557,42
GTSCE,1,s85,1,1663930351439,1
GTSCE,1,s85,1,1663930359906,38
GTSCE,1,s85,2,1663930554000,38
GTSCE,1,s85,3,1663930656203,38
GTSCE,1,s85,4,1663930758699,38
GTSCE,1,s63,1,1663930351682,1
GTSCE,1,s63,1,1663930360638,56
GTSCE,1,s90,1,1663930351292,1
GTSCE,1,s90,1,1663930362255,43
GTSCE,1,s115,1,1663930351703,1
GTSCE,1,s115,1,1663930362056,49
GTSCE,1,s115,2,1663930558866,50
GTSCE,1,s115,2,1663930559632,54
GTSCE,1,s42,1,1663930351228,1
GTSCE,1,s42,1,1663930361731,41
GTSCE,1,s42,2,1663930558642,42
GTSCE,1,s10,1,1663930350857,1
GTSCE,1,s10,1,1663930361822,38
GTSCE,1,s28,1,1663930351047,1
GTSCE,1,s28,1,1663930361532,53
GTSCE,1,s28,2,1663930557869,54
GTSCE,1,s28,2,1663930559999,61
GTSCE,1,s82,1,1663930350988,1
GTSCE,1,s82,1,1663930361554,55
GTSCE,1,s109,1,1663930351553,1
GTSCE,1,s109,1,1663930362242,47
GTSCE,1,s109,2,1663930554236,47
GTSCE,1,s109,2,1663930560835,54
GTSCE,1,s109,3,1663930656515,54
GTSCE,1,s109,4,1663930759040,54
GTSCE,1,s88,1,1663930351100,1
GTSCE,1,s88,1,1663930361899,43
GTSCE,1,s88,2,1663930556135,44
GTSCE,1,s88,2,1663930558844,46
GTSCE,1,s53,1,1663930351183,1
GTSCE,1,s53,1,1663930362310,45
GTSCE,1,s53,2,1663930553665,45
GTSCE,1,s53,2,1663930561344,79
GTSCE,1,s53,3,1663930655973,79
GTSCE,1,s53,4,1663930758498,79
GTSCE,1,s48,1,1663930351490,1
GTSCE,1,s48,1,1663930361616,38
GTSCE,1,s73,1,1663930351331,1
GTSCE,1,s73,1,1663930360660,46
GTSCE,1,s73,2,1663930553873,46
GTSCE,1,s73,3,1663930656152,46
GTSCE,1,s73,4,1663930758621,46
GTSCE,1,s21,1,1663930350864,1
GTSCE,1,s21,1,1663930360864,48
GTSCE,1,s21,2,1663930553291,48
GTSCE,1,s21,3,1663930655627,48
GTSCE,1,s21,4,1663930758201,48
GTSCE,1,s33,1,1663930350948,1
GTSCE,1,s33,1,1663930361524,44
GTSCE,1,s33,2,1663930553404,44
GTSCE,1,s33,2,1663930560520,48
GTSCE,1,s33,3,1663930655774,48
GTSCE,1,s33,4,1663930758357,48
GTSCE,1,s138,1,1663930351549,1
GTSCE,1,s138,1,1663930361910,52
GTSCE,1,s138,2,1663930558298,53
GTSCE,1,s126,1,1663930351652,1
GTSCE,1,s126,1,1663930360653,40
GTSCE,1,s145,1,1663930351012,2
