Topology,Try,Node,Sequence Number,Timestamp,States Count
ChinaTelecom,1,s24,1,1661702007071,2
ChinaTelecom,1,s24,1,1661702009507,43
ChinaTelecom,1,s24,2,1661702034382,43
ChinaTelecom,1,s24,3,1661702045677,43
ChinaTelecom,1,s24,4,1661702057232,43
ChinaTelecom,1,s22,1,1661702007212,2
ChinaTelecom,1,s22,1,1661702009721,42
ChinaTelecom,1,s22,2,1661702034221,42
ChinaTelecom,1,s22,3,1661702045594,42
ChinaTelecom,1,s22,4,1661702057006,42
ChinaTelecom,1,s26,1,1661702007065,2
ChinaTelecom,1,s26,1,1661702009512,42
ChinaTelecom,1,s26,2,1661702034313,42
ChinaTelecom,1,s26,3,1661702045709,42
ChinaTelecom,1,s26,4,1661702057082,43
ChinaTelecom,1,s26,4,1661702058161,47
ChinaTelecom,1,s23,1,1661702007220,2
ChinaTelecom,1,s23,1,1661702009675,42
ChinaTelecom,1,s23,2,1661702034294,42
ChinaTelecom,1,s23,3,1661702045588,42
ChinaTelecom,1,s23,4,1661702057001,42
ChinaTelecom,1,s23,4,1661702058359,45
ChinaTelecom,1,s20,1,1661702007059,2
ChinaTelecom,1,s20,1,1661702009704,42
ChinaTelecom,1,s20,2,1661702034066,42
ChinaTelecom,1,s20,3,1661702045626,42
ChinaTelecom,1,s20,4,1661702056963,42
ChinaTelecom,1,s2,1,1661702006760,1
ChinaTelecom,1,s2,1,1661702010592,42
ChinaTelecom,1,s2,2,1661702033372,42
ChinaTelecom,1,s2,3,1661702044865,42
ChinaTelecom,1,s2,4,1661702056375,42
ChinaTelecom,1,s4,1,1661702006909,1
ChinaTelecom,1,s4,1,1661702010888,42
ChinaTelecom,1,s4,2,1661702033527,42
ChinaTelecom,1,s4,3,1661702044987,42
ChinaTelecom,1,s4,4,1661702056511,42
ChinaTelecom,1,s3,1,1661702006831,1
ChinaTelecom,1,s3,1,1661702010529,42
ChinaTelecom,1,s3,2,1661702033450,42
ChinaTelecom,1,s3,3,1661702044913,42
ChinaTelecom,1,s3,4,1661702056447,42
ChinaTelecom,1,s31,1,1661702007201,2
ChinaTelecom,1,s31,1,1661702009669,42
ChinaTelecom,1,s31,2,1661702034401,42
ChinaTelecom,1,s31,3,1661702045978,42
ChinaTelecom,1,s31,4,1661702057351,42
ChinaTelecom,1,s31,4,1661702058243,45
ChinaTelecom,1,s33,1,1661702007078,2
ChinaTelecom,1,s33,1,1661702009714,42
ChinaTelecom,1,s33,2,1661702034485,42
ChinaTelecom,1,s33,3,1661702045943,42
ChinaTelecom,1,s33,4,1661702057434,42
ChinaTelecom,1,s35,1,1661702007081,2
ChinaTelecom,1,s35,1,1661702009723,42
ChinaTelecom,1,s35,2,1661702034499,42
ChinaTelecom,1,s35,3,1661702046065,42
ChinaTelecom,1,s35,4,1661702057530,42
ChinaTelecom,1,s19,1,1661702006929,2
ChinaTelecom,1,s19,1,1661702009627,42
ChinaTelecom,1,s19,2,1661702034108,42
ChinaTelecom,1,s19,3,1661702045494,42
ChinaTelecom,1,s19,4,1661702056941,42
ChinaTelecom,1,s27,1,1661702007260,2
ChinaTelecom,1,s27,1,1661702010712,42
ChinaTelecom,1,s27,2,1661702034458,42
ChinaTelecom,1,s27,3,1661702045695,42
ChinaTelecom,1,s27,4,1661702057182,42
ChinaTelecom,1,s10,1,1661702007176,2
ChinaTelecom,1,s10,1,1661702011004,51
ChinaTelecom,1,s10,2,1661702033745,51
ChinaTelecom,1,s10,3,1661702045198,51
ChinaTelecom,1,s10,4,1661702056684,51
