Topology,Try,Node,Sequence Number,Timestamp,States Count
ChinaTelecom,1,s24,1,1661185954494,2
ChinaTelecom,1,s24,1,1661185956610,42
ChinaTelecom,1,s24,4,1661185988671,43
ChinaTelecom,1,s22,1,1661185954602,2
ChinaTelecom,1,s22,1,1661185956728,42
ChinaTelecom,1,s26,1,1661185954483,2
ChinaTelecom,1,s26,1,1661185956604,42
ChinaTelecom,1,s26,4,1661185988558,43
ChinaTelecom,1,s23,1,1661185954602,2
ChinaTelecom,1,s23,1,1661185956725,42
ChinaTelecom,1,s23,4,1661185988678,43
ChinaTelecom,1,s20,1,1661185954482,2
ChinaTelecom,1,s20,1,1661185956604,42
ChinaTelecom,1,s20,4,1661185988659,43
ChinaTelecom,1,s2,1,1661185954320,1
ChinaTelecom,1,s2,1,1661185956642,42
ChinaTelecom,1,s4,1,1661185954372,2
ChinaTelecom,1,s4,1,1661185956752,42
ChinaTelecom,1,s4,4,1661185988808,43
ChinaTelecom,1,s3,1,1661185954387,1
ChinaTelecom,1,s3,1,1661185956720,42
ChinaTelecom,1,s31,1,1661185954608,2
ChinaTelecom,1,s31,1,1661185956743,42
ChinaTelecom,1,s33,1,1661185954490,2
ChinaTelecom,1,s33,1,1661185956595,42
ChinaTelecom,1,s35,1,1661185954499,2
ChinaTelecom,1,s35,1,1661185956620,42
ChinaTelecom,1,s35,4,1661185988676,43
ChinaTelecom,1,s19,1,1661185954444,2
ChinaTelecom,1,s19,1,1661185956513,42
ChinaTelecom,1,s27,1,1661185954605,2
ChinaTelecom,1,s27,1,1661185956722,42
ChinaTelecom,1,s10,1,1661185954584,2
ChinaTelecom,1,s10,1,1661185956718,42
ChinaTelecom,1,s15,1,1661185954489,2
ChinaTelecom,1,s15,1,1661185956716,42
ChinaTelecom,1,s7,1,1661185954488,2
ChinaTelecom,1,s7,1,1661185956620,42
ChinaTelecom,1,s29,1,1661185954474,2
ChinaTelecom,1,s29,1,1661185956602,42
ChinaTelecom,1,s1,1,1661185954236,1
ChinaTelecom,1,s1,1,1661185956650,42
ChinaTelecom,1,s1,4,1661185988674,43
ChinaTelecom,1,s9,1,1661185954474,2
ChinaTelecom,1,s9,1,1661185956591,42
ChinaTelecom,1,s21,1,1661185954612,2
