Topology,Try,Node,Sequence Number,Timestamp,States Count
Abilene,1,s11,1,1653831597268,1
Abilene,1,s11,1,1653831597733,10
Abilene,1,s11,4,1653831669542,11
Abilene,1,s11,4,1653831669754,12
Abilene,1,s3,1,1653831597212,1
Abilene,1,s3,1,1653831597806,10
Abilene,1,s3,4,1653831669556,11
Abilene,1,s6,1,1653831597337,0
Abilene,1,s6,1,1653831597832,10
Abilene,1,s5,1,1653831597299,0
Abilene,1,s5,1,1653831597845,10
Abilene,1,s5,2,1653831663466,11
Abilene,1,s5,2,1653831663676,13
Abilene,1,s5,4,1653831669615,14
Abilene,1,s5,4,1653831669903,18
Abilene,1,s9,1,1653831597330,1
Abilene,1,s9,1,1653831597769,10
Abilene,1,s7,1,1653831597356,1
Abilene,1,s7,1,1653831597784,10
Abilene,1,s7,4,1653831669611,11
Abilene,1,s7,4,1653831669681,13
Abilene,1,s8,1,1653831597317,1
Abilene,1,s8,1,1653831597731,10
Abilene,1,s8,4,1653831669591,11
Abilene,1,s8,4,1653831669681,12
Abilene,1,s10,1,1653831597276,1
Abilene,1,s10,1,1653831597762,10
Abilene,1,s10,2,1653831663372,11
Abilene,1,s1,1,1653831597162,0
Abilene,1,s1,1,1653831597890,10
Abilene,1,s1,4,1653831669608,11
Abilene,1,s1,4,1653831669867,16
Abilene,1,s2,1,1653831597197,0
Abilene,1,s2,1,1653831597794,10
Abilene,1,s2,4,1653831669611,11
Abilene,1,s2,4,1653831669807,13
Abilene,1,s4,1,1653831597281,0
Abilene,1,s4,1,1653831597859,10
Abilene,1,s4,4,1653831669717,11
Abilene,2,s11,1,1653948296209,1
Abilene,2,s11,1,1653948296945,10
Abilene,2,s11,4,1653948424105,11
Abilene,2,s3,1,1653948296152,1
Abilene,2,s3,1,1653948297076,10
Abilene,2,s3,4,1653948423961,11
Abilene,2,s3,4,1653948424213,14
Abilene,2,s6,1,1653948296360,1
Abilene,2,s6,1,1653948297092,10
Abilene,2,s6,4,1653948424088,11
Abilene,2,s6,4,1653948424339,17
Abilene,2,s5,1,1653948296366,1
Abilene,2,s5,1,1653948297102,10
Abilene,2,s5,2,1653948421027,11
Abilene,2,s5,4,1653948424042,12
Abilene,2,s5,4,1653948424268,15
Abilene,2,s9,1,1653948296300,1
Abilene,2,s9,1,1653948297022,10
Abilene,2,s9,4,1653948423934,11
Abilene,2,s9,4,1653948424103,13
Abilene,2,s7,1,1653948296330,1
Abilene,2,s7,1,1653948297017,10
Abilene,2,s7,2,1653948420982,11
Abilene,2,s8,1,1653948296277,1
Abilene,2,s8,1,1653948296976,10
Abilene,2,s8,4,1653948424053,11
Abilene,2,s10,1,1653948296237,1
Abilene,2,s10,1,1653948297025,10
Abilene,2,s10,2,1653948420827,11
Abilene,2,s10,4,1653948423919,12
Abilene,2,s10,4,1653948424153,14
Abilene,2,s1,1,1653948296098,0
Abilene,2,s1,1,1653948297025,10
Abilene,2,s1,4,1653948424012,11
Abilene,2,s1,4,1653948424277,15
Abilene,2,s2,1,1653948296134,0
Abilene,2,s2,1,1653948296980,10
Abilene,2,s2,2,1653948421032,11
Abilene,2,s2,2,1653948421114,13
Abilene,2,s2,4,1653948423965,14
Abilene,2,s2,4,1653948424153,15
Abilene,2,s4,1,1653948296305,0
Abilene,2,s4,1,1653948297090,10
Abilene,2,s4,4,1653948424066,11
Abilene,2,s4,4,1653948424265,13
