Topology,Try,Node,Sequence Number,Timestamp,States Count
GTSCE,1,s67,1,1663757853311,1
GTSCE,1,s67,1,1663757858192,39
GTSCE,1,s67,2,1663758059385,40
GTSCE,1,s67,2,1663758059583,41
GTSCE,1,s123,1,1663757853514,1
GTSCE,1,s123,1,1663757857738,38
GTSCE,1,s114,1,1663757853593,1
GTSCE,1,s114,1,1663757857523,39
GTSCE,1,s52,1,1663757853012,1
GTSCE,1,s52,1,1663757856903,38
GTSCE,1,s29,1,1663757853023,1
GTSCE,1,s29,1,1663757856839,38
GTSCE,1,s147,1,1663757853267,1
GTSCE,1,s147,1,1663757857350,38
GTSCE,1,s17,1,1663757852766,2
GTSCE,1,s17,1,1663757857940,38
GTSCE,1,s5,1,1663757852653,1
GTSCE,1,s5,1,1663757858050,38
GTSCE,1,s118,1,1663757852885,1
GTSCE,1,s118,1,1663757856984,38
GTSCE,1,s122,1,1663757853470,1
GTSCE,1,s122,1,1663757857595,50
GTSCE,1,s84,1,1663757853554,1
GTSCE,1,s84,1,1663757857250,38
GTSCE,1,s43,1,1663757853300,1
GTSCE,1,s43,1,1663757856894,38
GTSCE,1,s37,1,1663757853126,1
GTSCE,1,s37,1,1663757857501,38
GTSCE,1,s127,1,1663757853439,1
GTSCE,1,s127,1,1663757857868,38
GTSCE,1,s100,1,1663757852974,1
GTSCE,1,s100,1,1663757857607,40
GTSCE,1,s85,1,1663757853554,2
GTSCE,1,s85,1,1663757857251,38
GTSCE,1,s63,1,1663757853404,1
GTSCE,1,s63,1,1663757857105,39
GTSCE,1,s90,1,1663757853203,1
GTSCE,1,s90,1,1663757857406,38
GTSCE,1,s90,2,1663758059059,39
GTSCE,1,s115,1,1663757853548,1
GTSCE,1,s115,1,1663757857525,40
GTSCE,1,s42,1,1663757853259,1
GTSCE,1,s42,1,1663757857853,42
GTSCE,1,s10,1,1663757852849,1
GTSCE,1,s10,1,1663757857721,38
GTSCE,1,s28,1,1663757853099,1
GTSCE,1,s28,1,1663757856886,38
GTSCE,1,s82,1,1663757853028,1
GTSCE,1,s82,1,1663757856964,40
GTSCE,1,s109,1,1663757853492,2
GTSCE,1,s109,1,1663757857973,51
GTSCE,1,s109,2,1663758058565,52
GTSCE,1,s109,2,1663758060273,61
GTSCE,1,s88,1,1663757853018,1
GTSCE,1,s88,1,1663757857452,39
GTSCE,1,s53,1,1663757853244,2
GTSCE,1,s53,1,1663757857265,38
GTSCE,1,s48,1,1663757853393,1
GTSCE,1,s48,1,1663757857983,38
GTSCE,1,s73,1,1663757853431,2
GTSCE,1,s73,1,1663757857148,45
GTSCE,1,s21,1,1663757852908,1
GTSCE,1,s21,1,1663757857038,38
GTSCE,1,s33,1,1663757853070,1
GTSCE,1,s33,1,1663757857204,39
GTSCE,1,s138,1,1663757853376,1
GTSCE,1,s138,1,1663757857399,38
GTSCE,1,s126,1,1663757853218,1
GTSCE,1,s126,1,1663757857117,39
GTSCE,1,s145,1,1663757853043,2
GTSCE,1,s145,1,1663757856858,38
GTSCE,1,s137,1,1663757853393,2
GTSCE,1,s137,1,1663757857407,38
GTSCE,1,s143,1,1663757853110,1
GTSCE,1,s143,1,1663757857479,38
GTSCE,1,s139,1,1663757853253,1
GTSCE,1,s139,1,1663757856960,38
GTSCE,1,s131,1,1663757853423,1
GTSCE,1,s131,1,1663757857512,40
GTSCE,1,s132,1,1663757853289,1
GTSCE,1,s132,1,1663757857336,39
GTSCE,1,s35,1,1663757853442,1
GTSCE,1,s35,1,1663757857246,39
GTSCE,1,s140,1,1663757853166,1
GTSCE,1,s140,1,1663757857035,38
GTSCE,1,s55,1,1663757853141,1
GTSCE,1,s55,1,1663757857473,38
GTSCE,1,s92,1,1663757853087,1
GTSCE,1,s92,1,1663757857720,39
GTSCE,1,s31,1,1663757853561,1
GTSCE,1,s31,1,1663757857987,38
GTSCE,1,s81,1,1663757853023,2
GTSCE,1,s81,1,1663757857509,40
GTSCE,1,s40,1,1663757853263,1
GTSCE,1,s40,1,1663757857367,38
GTSCE,1,s124,1,1663757853296,1
GTSCE,1,s124,1,1663757857006,39
GTSCE,1,s129,1,1663757853489,2
GTSCE,1,s129,1,1663757857490,39
GTSCE,1,s75,1,1663757853264,1
GTSCE,1,s75,1,1663757857493,39
GTSCE,1,s130,1,1663757853191,1
GTSCE,1,s130,1,1663757857487,38
GTSCE,1,s80,1,1663757853135,1
GTSCE,1,s80,1,1663757856957,38
GTSCE,1,s80,2,1663758059699,39
GTSCE,1,s113,1,1663757853145,2
GTSCE,1,s113,1,1663757857551,38
GTSCE,1,s3,1,1663757853482,1
GTSCE,1,s3,1,1663757857359,38
GTSCE,1,s15,1,1663757852735,1
GTSCE,1,s15,1,1663757857595,38
GTSCE,1,s25,1,1663757852964,1
GTSCE,1,s25,1,1663757856991,38
GTSCE,1,s144,1,1663757853375,1
GTSCE,1,s144,1,1663757857387,38
GTSCE,1,s50,1,1663757853606,1
GTSCE,1,s50,1,1663757857604,39
GTSCE,1,s136,1,1663757853267,1
GTSCE,1,s136,1,1663757857677,63
GTSCE,1,s77,1,1663757853558,1
GTSCE,1,s77,1,1663757857621,38
GTSCE,1,s36,1,1663757853180,1
GTSCE,1,s36,1,1663757857315,41
GTSCE,1,s36,2,1663758059133,42
GTSCE,1,s36,2,1663758059767,46
GTSCE,1,s112,1,1663757853281,1
GTSCE,1,s112,1,1663757857438,39
GTSCE,1,s39,1,1663757853609,1
GTSCE,1,s39,1,1663757857490,38
GTSCE,1,s117,1,1663757853581,2
GTSCE,1,s117,1,1663757857478,38
GTSCE,1,s105,1,1663757853378,2
GTSCE,1,s105,1,1663757857966,38
GTSCE,1,s2,1,1663757853105,1
GTSCE,1,s2,1,1663757857471,38
GTSCE,1,s108,1,1663757853459,1
GTSCE,1,s108,1,1663757857856,39
GTSCE,1,s65,1,1663757853310,2
GTSCE,1,s65,1,1663757857995,38
GTSCE,1,s79,1,1663757853314,1
GTSCE,1,s79,1,1663757857529,38
GTSCE,1,s44,1,1663757853419,1
GTSCE,1,s44,1,1663757857451,38
GTSCE,1,s141,1,1663757853128,2
GTSCE,1,s141,1,1663757857704,39
GTSCE,1,s11,1,1663757852876,1
GTSCE,1,s11,1,1663757858050,38
GTSCE,1,s57,1,1663757853376,1
GTSCE,1,s57,1,1663757857517,38
GTSCE,1,s13,1,1663757852770,1
GTSCE,1,s13,1,1663757857558,38
GTSCE,1,s56,1,1663757853254,1
GTSCE,1,s56,1,1663757857435,38
GTSCE,1,s148,1,1663757853390,1
GTSCE,1,s148,1,1663757857136,38
GTSCE,1,s133,1,1663757853099,2
GTSCE,1,s133,1,1663757857237,39
GTSCE,1,s34,1,1663757853304,1
GTSCE,1,s34,1,1663757857197,38
GTSCE,1,s6,1,1663757852777,1
GTSCE,1,s6,1,1663757858165,38
GTSCE,1,s22,1,1663757853357,1
GTSCE,1,s22,1,1663757857551,38
GTSCE,1,s22,4,1663758262502,39
GTSCE,1,s22,4,1663758264931,70
GTSCE,1,s69,1,1663757853529,1
GTSCE,1,s69,1,1663757857233,38
GTSCE,1,s51,1,1663757853194,1
GTSCE,1,s51,1,1663757856977,38
GTSCE,1,s78,1,1663757853476,1
GTSCE,1,s78,1,1663757857437,40
GTSCE,1,s20,1,1663757853238,1
GTSCE,1,s20,1,1663757857152,38
GTSCE,1,s60,1,1663757853355,1
GTSCE,1,s60,1,1663757857495,40
GTSCE,1,s83,1,1663757853152,1
GTSCE,1,s83,1,1663757857355,38
GTSCE,1,s83,2,1663758059829,39
GTSCE,1,s1,1,1663757852613,1
GTSCE,1,s1,1,1663757857715,38
GTSCE,1,s87,1,1663757853253,1
GTSCE,1,s87,1,1663757857098,40
GTSCE,1,s102,1,1663757853387,1
GTSCE,1,s102,1,1663757857977,53
GTSCE,1,s102,2,1663758059400,54
GTSCE,1,s96,1,1663757852891,1
GTSCE,1,s96,1,1663757857816,40
GTSCE,1,s128,1,1663757853569,1
GTSCE,1,s128,1,1663757857738,40
GTSCE,1,s71,1,1663757853348,1
GTSCE,1,s71,1,1663757857242,40
GTSCE,1,s9,1,1663757852722,1
GTSCE,1,s9,1,1663757857844,40
GTSCE,1,s8,1,1663757852844,1
GTSCE,1,s8,1,1663757857965,38
GTSCE,1,s94,1,1663757852960,1
GTSCE,1,s94,1,1663757857594,39
GTSCE,1,s24,1,1663757853352,1
GTSCE,1,s24,1,1663757856883,38
GTSCE,1,s24,2,1663758060338,39
GTSCE,1,s24,4,1663758262376,40
GTSCE,1,s24,4,1663758264768,69
GTSCE,1,s26,1,1663757853082,1
GTSCE,1,s26,1,1663757856868,38
GTSCE,1,s26,2,1663758059935,39
GTSCE,1,s120,1,1663757853582,1
GTSCE,1,s120,1,1663757857372,47
GTSCE,1,s74,1,1663757853314,1
GTSCE,1,s74,1,1663757857476,41
GTSCE,1,s4,1,1663757853338,1
GTSCE,1,s4,1,1663757857515,38
GTSCE,1,s4,2,1663758059097,39
GTSCE,1,s54,1,1663757853130,1
GTSCE,1,s54,1,1663757856935,38
GTSCE,1,s12,1,1663757853016,1
GTSCE,1,s12,1,1663757857840,40
GTSCE,1,s89,1,1663757853323,2
GTSCE,1,s89,1,1663757857097,38
GTSCE,1,s111,1,1663757853328,1
GTSCE,1,s111,1,1663757857727,51
GTSCE,1,s68,1,1663757853545,1
GTSCE,1,s68,1,1663757857969,39
GTSCE,1,s68,2,1663758059300,40
GTSCE,1,s64,1,1663757853320,1
GTSCE,1,s64,1,1663757858243,38
GTSCE,1,s107,1,1663757853216,1
GTSCE,1,s107,1,1663757857846,40
GTSCE,1,s86,1,1663757853286,1
GTSCE,1,s86,1,1663757857437,38
GTSCE,1,s86,2,1663758058939,39
GTSCE,1,s61,1,1663757853459,1
GTSCE,1,s61,1,1663757857285,38
GTSCE,1,s46,1,1663757853363,1
GTSCE,1,s46,1,1663757857612,38
GTSCE,1,s121,1,1663757853473,2
GTSCE,1,s121,1,1663757857280,39
GTSCE,1,s7,1,1663757852902,1
GTSCE,1,s7,1,1663757858097,38
GTSCE,1,s7,2,1663758059313,39
GTSCE,1,s7,2,1663758059776,40
GTSCE,1,s41,1,1663757853188,1
GTSCE,1,s41,1,1663757858114,38
GTSCE,1,s41,2,1663758059503,39
GTSCE,1,s119,1,1663757853464,1
GTSCE,1,s119,1,1663757857358,40
GTSCE,1,s119,2,1663758059102,41
GTSCE,1,s45,1,1663757853249,1
GTSCE,1,s45,1,1663757857722,39
GTSCE,1,s38,1,1663757853378,1
GTSCE,1,s38,1,1663757857742,38
GTSCE,1,s38,2,1663758059373,39
GTSCE,1,s103,1,1663757853431,1
GTSCE,1,s103,1,1663757858081,52
GTSCE,1,s103,2,1663758059000,53
GTSCE,1,s103,2,1663758059472,55
GTSCE,1,s106,1,1663757853373,1
GTSCE,1,s106,1,1663757857965,51
GTSCE,1,s106,2,1663758059277,52
GTSCE,1,s106,2,1663758059477,53
GTSCE,1,s98,1,1663757853207,1
GTSCE,1,s98,1,1663757857837,39
GTSCE,1,s18,1,1663757852982,1
GTSCE,1,s18,1,1663757857348,38
GTSCE,1,s101,1,1663757853079,2
GTSCE,1,s101,1,1663757857712,40
GTSCE,1,s93,1,1663757852969,2
GTSCE,1,s93,1,1663757857603,40
GTSCE,1,s19,1,1663757853218,1
GTSCE,1,s19,1,1663757857848,40
GTSCE,1,s62,1,1663757853429,1
GTSCE,1,s62,1,1663757857224,40
GTSCE,1,s110,1,1663757853198,1
GTSCE,1,s110,1,1663757857832,42
GTSCE,1,s97,1,1663757853004,2
GTSCE,1,s97,1,1663757857704,40
GTSCE,1,s99,1,1663757853137,1
GTSCE,1,s99,1,1663757857959,41
GTSCE,1,s58,1,1663757853328,1
GTSCE,1,s58,1,1663757857362,38
GTSCE,1,s72,1,1663757853321,1
GTSCE,1,s72,1,1663757857211,38
GTSCE,1,s134,1,1663757853041,1
GTSCE,1,s134,1,1663757857141,38
GTSCE,1,s125,1,1663757853169,2
GTSCE,1,s125,1,1663757856876,38
GTSCE,1,s49,1,1663757853300,1
GTSCE,1,s49,1,1663757857727,38
GTSCE,1,s16,1,1663757853341,1
GTSCE,1,s16,1,1663757857285,39
GTSCE,1,s16,2,1663758059233,40
GTSCE,1,s135,1,1663757853039,1
GTSCE,1,s135,1,1663757856930,38
GTSCE,1,s59,1,1663757852996,1
GTSCE,1,s59,1,1663757857405,38
GTSCE,1,s142,1,1663757853033,1
GTSCE,1,s142,1,1663757857418,38
GTSCE,1,s27,1,1663757853227,1
GTSCE,1,s27,1,1663757857032,38
GTSCE,1,s27,4,1663758262527,39
GTSCE,1,s27,4,1663758263050,40
GTSCE,1,s149,1,1663757853165,2
GTSCE,1,s149,1,1663757856927,39
GTSCE,1,s23,1,1663757853233,1
GTSCE,1,s23,1,1663757857557,38
GTSCE,1,s23,4,1663758262452,39
GTSCE,1,s23,4,1663758263711,40
GTSCE,1,s32,1,1663757853535,1
GTSCE,1,s32,1,1663757857268,38
GTSCE,1,s146,1,1663757853143,1
GTSCE,1,s146,1,1663757857415,38
GTSCE,1,s47,1,1663757853003,1
GTSCE,1,s47,1,1663757858174,38
GTSCE,1,s70,1,1663757853546,1
GTSCE,1,s70,1,1663757857301,38
GTSCE,1,s30,1,1663757853125,1
GTSCE,1,s30,1,1663757857472,38
GTSCE,1,s95,1,1663757852848,1
GTSCE,1,s95,1,1663757857486,38
GTSCE,1,s104,1,1663757853093,1
GTSCE,1,s104,1,1663757857724,39
GTSCE,1,s14,1,1663757853539,1
GTSCE,1,s14,1,1663757857174,38
GTSCE,1,s116,1,1663757853664,1
GTSCE,1,s116,1,1663757857361,42
GTSCE,1,s91,1,1663757853266,1
GTSCE,1,s91,1,1663757857570,39
GTSCE,1,s66,1,1663757853314,1
GTSCE,1,s66,1,1663757858127,40
GTSCE,1,s76,1,1663757853247,1
GTSCE,1,s76,1,1663757857612,38
GTSCE,2,s67,1,1663761621931,1
GTSCE,2,s67,1,1663761627503,38
GTSCE,2,s123,1,1663761622110,1
GTSCE,2,s123,1,1663761627054,38
GTSCE,2,s114,1,1663761622181,1
GTSCE,2,s114,1,1663761626689,38
GTSCE,2,s52,1,1663761621601,1
GTSCE,2,s52,1,1663761626148,39
GTSCE,2,s29,1,1663761621624,1
GTSCE,2,s29,1,1663761626395,38
GTSCE,2,s147,1,1663761621858,1
GTSCE,2,s147,1,1663761626510,38
GTSCE,2,s17,1,1663761621379,2
GTSCE,2,s17,1,1663761627249,38
GTSCE,2,s5,1,1663761621266,1
GTSCE,2,s5,1,1663761627360,38
GTSCE,2,s118,1,1663761621472,1
GTSCE,2,s118,1,1663761626274,39
GTSCE,2,s122,1,1663761622048,1
GTSCE,2,s122,1,1663761626912,38
GTSCE,2,s84,1,1663761622133,1
GTSCE,2,s84,1,1663761626568,38
GTSCE,2,s43,1,1663761621878,1
GTSCE,2,s43,1,1663761626061,38
GTSCE,2,s37,1,1663761621733,1
GTSCE,2,s37,1,1663761626814,38
GTSCE,2,s127,1,1663761622067,1
GTSCE,2,s127,1,1663761627181,38
GTSCE,2,s100,1,1663761621555,1
GTSCE,2,s100,1,1663761626918,38
GTSCE,2,s85,1,1663761622132,2
GTSCE,2,s85,1,1663761626563,38
GTSCE,2,s63,1,1663761621976,1
GTSCE,2,s63,1,1663761626420,38
GTSCE,2,s90,1,1663761621783,1
GTSCE,2,s90,1,1663761626300,39
GTSCE,2,s115,1,1663761622127,1
GTSCE,2,s115,1,1663761626559,38
GTSCE,2,s42,1,1663761621871,1
GTSCE,2,s42,1,1663761627170,38
GTSCE,2,s10,1,1663761621440,1
GTSCE,2,s10,1,1663761627033,38
GTSCE,2,s28,1,1663761621681,1
GTSCE,2,s28,1,1663761626043,47
GTSCE,2,s82,1,1663761621601,1
GTSCE,2,s82,1,1663761626051,39
GTSCE,2,s109,1,1663761622113,2
GTSCE,2,s109,1,1663761627282,38
GTSCE,2,s109,2,1663761827817,39
GTSCE,2,s109,2,1663761828113,41
GTSCE,2,s88,1,1663761621608,1
GTSCE,2,s88,1,1663761626266,39
GTSCE,2,s88,2,1663761828007,40
GTSCE,2,s53,1,1663761621832,2
GTSCE,2,s53,1,1663761626630,38
GTSCE,2,s48,1,1663761622002,1
GTSCE,2,s48,1,1663761627299,38
GTSCE,2,s73,1,1663761622008,2
GTSCE,2,s73,1,1663761626450,38
GTSCE,2,s21,1,1663761621485,1
GTSCE,2,s21,1,1663761625945,38
GTSCE,2,s33,1,1663761621678,1
GTSCE,2,s33,1,1663761626518,40
GTSCE,2,s138,1,1663761621962,1
GTSCE,2,s138,1,1663761626272,39
GTSCE,2,s126,1,1663761621795,1
GTSCE,2,s126,1,1663761626433,38
GTSCE,2,s145,1,1663761621620,2
GTSCE,2,s145,1,1663761625913,38
GTSCE,2,s137,1,1663761621987,2
GTSCE,2,s137,1,1663761626636,38
GTSCE,2,s143,1,1663761621698,1
GTSCE,2,s143,1,1663761626268,38
GTSCE,2,s139,1,1663761621837,1
GTSCE,2,s139,1,1663761626156,44
GTSCE,2,s131,1,1663761621996,1
GTSCE,2,s131,1,1663761626435,38
GTSCE,2,s132,1,1663761621859,1
GTSCE,2,s132,1,1663761626305,38
GTSCE,2,s35,1,1663761622059,1
GTSCE,2,s35,1,1663761626561,38
GTSCE,2,s140,1,1663761621747,1
GTSCE,2,s140,1,1663761626036,38
GTSCE,2,s55,1,1663761621742,1
GTSCE,2,s55,1,1663761626507,38
GTSCE,2,s92,1,1663761621667,1
GTSCE,2,s92,1,1663761627028,38
GTSCE,2,s31,1,1663761622189,1
GTSCE,2,s31,1,1663761627300,38
GTSCE,2,s81,1,1663761621602,2
GTSCE,2,s81,1,1663761626051,39
GTSCE,2,s40,1,1663761621869,1
GTSCE,2,s40,1,1663761626681,38
GTSCE,2,s124,1,1663761621873,1
GTSCE,2,s124,1,1663761626317,39
GTSCE,2,s129,1,1663761622124,2
GTSCE,2,s129,1,1663761626805,38
GTSCE,2,s75,1,1663761621856,1
GTSCE,2,s75,1,1663761626510,39
GTSCE,2,s130,1,1663761621801,1
GTSCE,2,s130,1,1663761626399,38
GTSCE,2,s80,1,1663761621712,1
GTSCE,2,s80,1,1663761626160,38
GTSCE,2,s113,1,1663761621738,2
GTSCE,2,s113,1,1663761626393,39
GTSCE,2,s3,1,1663761622038,1
GTSCE,2,s3,1,1663761626675,38
GTSCE,2,s15,1,1663761621316,1
GTSCE,2,s15,1,1663761626907,38
GTSCE,2,s25,1,1663761621545,1
GTSCE,2,s25,1,1663761626065,39
GTSCE,2,s144,1,1663761621961,1
GTSCE,2,s144,1,1663761626758,38
GTSCE,2,s50,1,1663761622250,1
GTSCE,2,s50,1,1663761626921,38
GTSCE,2,s136,1,1663761621860,1
GTSCE,2,s136,1,1663761626521,40
GTSCE,2,s77,1,1663761622235,2
GTSCE,2,s77,1,1663761626936,38
GTSCE,2,s36,1,1663761621790,1
GTSCE,2,s36,1,1663761626626,38
GTSCE,2,s112,1,1663761621873,1
GTSCE,2,s112,1,1663761626302,38
GTSCE,2,s39,1,1663761622175,1
GTSCE,2,s39,1,1663761626805,38
GTSCE,2,s117,1,1663761622163,2
GTSCE,2,s117,1,1663761626791,38
GTSCE,2,s105,1,1663761621989,2
GTSCE,2,s105,1,1663761627283,38
GTSCE,2,s2,1,1663761621686,1
GTSCE,2,s2,1,1663761626783,38
GTSCE,2,s108,1,1663761622041,1
GTSCE,2,s108,1,1663761627167,38
GTSCE,2,s65,1,1663761621932,2
GTSCE,2,s65,1,1663761627308,38
GTSCE,2,s79,1,1663761621922,1
GTSCE,2,s79,1,1663761626439,39
GTSCE,2,s44,1,1663761621997,1
GTSCE,2,s44,1,1663761626151,38
GTSCE,2,s141,1,1663761621717,2
GTSCE,2,s141,1,1663761626040,38
GTSCE,2,s11,1,1663761621489,1
GTSCE,2,s11,1,1663761627359,38
GTSCE,2,s57,1,1663761622031,2
GTSCE,2,s57,1,1663761626504,38
GTSCE,2,s13,1,1663761621357,1
GTSCE,2,s13,1,1663761626389,38
GTSCE,2,s56,1,1663761621855,1
GTSCE,2,s56,1,1663761626622,38
GTSCE,2,s148,1,1663761621974,1
GTSCE,2,s148,1,1663761626625,38
GTSCE,2,s133,1,1663761621676,2
GTSCE,2,s133,1,1663761626550,38
GTSCE,2,s34,1,1663761621913,1
GTSCE,2,s34,1,1663761626515,38
GTSCE,2,s6,1,1663761621382,1
GTSCE,2,s6,1,1663761627474,38
GTSCE,2,s22,1,1663761621943,1
GTSCE,2,s22,1,1663761626298,38
GTSCE,2,s69,1,1663761622116,2
GTSCE,2,s69,1,1663761626548,38
