Topology,Try,Node,Sequence Number,Timestamp,States Count
IRIS Networks,23,s2,1,1661506138882,1
IRIS Networks,23,s2,1,1661506139978,11
IRIS Networks,23,s2,2,1661506178422,11
IRIS Networks,23,s2,3,1661506197833,11
IRIS Networks,23,s2,4,1661506200427,11
IRIS Networks,23,s2,5,1661506252429,11
IRIS Networks,23,s2,5,1661506253018,13
IRIS Networks,23,s4,1,1661506139020,1
IRIS Networks,23,s4,1,1661506140049,11
IRIS Networks,23,s4,2,1661506178484,11
IRIS Networks,23,s4,2,1661506179316,13
IRIS Networks,23,s4,3,1661506197965,13
IRIS Networks,23,s4,3,1661506198794,14
IRIS Networks,23,s4,4,1661506200490,14
IRIS Networks,23,s4,4,1661506201245,15
IRIS Networks,23,s4,5,1661506252555,15
IRIS Networks,23,s3,1,1661506138957,1
IRIS Networks,23,s3,1,1661506140068,11
IRIS Networks,23,s3,2,1661506178456,11
IRIS Networks,23,s3,3,1661506197960,11
IRIS Networks,23,s3,4,1661506200470,11
IRIS Networks,23,s3,5,1661506252486,11
IRIS Networks,23,s3,5,1661506252887,12
IRIS Networks,23,s10,1,1661506139129,2
IRIS Networks,23,s10,1,1661506139900,11
IRIS Networks,23,s10,2,1661506178769,11
IRIS Networks,23,s10,3,1661506198292,11
IRIS Networks,23,s10,4,1661506200814,11
IRIS Networks,23,s10,5,1661506252924,11
IRIS Networks,23,s7,1,1661506139193,2
IRIS Networks,23,s7,1,1661506139868,11
IRIS Networks,23,s7,2,1661506178597,11
IRIS Networks,23,s7,2,1661506179008,13
IRIS Networks,23,s7,3,1661506198171,13
IRIS Networks,23,s7,4,1661506200731,13
IRIS Networks,23,s7,5,1661506252788,13
IRIS Networks,23,s1,1,1661506138836,1
IRIS Networks,23,s1,1,1661506140016,11
IRIS Networks,23,s1,2,1661506178369,11
IRIS Networks,23,s1,2,1661506179463,12
IRIS Networks,23,s1,3,1661506197768,12
IRIS Networks,23,s1,3,1661506199141,14
IRIS Networks,23,s1,4,1661506200354,14
IRIS Networks,23,s1,5,1661506252392,14
IRIS Networks,23,s1,5,1661506253782,19
IRIS Networks,23,s9,1,1661506139294,2
IRIS Networks,23,s9,1,1661506139798,11
IRIS Networks,23,s9,2,1661506178740,11
IRIS Networks,23,s9,2,1661506179165,12
IRIS Networks,23,s9,3,1661506198323,12
IRIS Networks,23,s9,3,1661506198630,13
IRIS Networks,23,s9,4,1661506200751,13
IRIS Networks,23,s9,4,1661506201020,14
IRIS Networks,23,s9,5,1661506252939,15
IRIS Networks,23,s9,5,1661506253315,16
IRIS Networks,23,s6,1,1661506139155,1
IRIS Networks,23,s6,1,1661506139972,11
IRIS Networks,23,s6,2,1661506178540,11
IRIS Networks,23,s6,3,1661506198099,11
IRIS Networks,23,s6,4,1661506200614,11
IRIS Networks,23,s6,5,1661506252719,11
IRIS Networks,23,s5,1,1661506139095,1
IRIS Networks,23,s5,1,1661506140016,11
IRIS Networks,23,s5,2,1661506178522,11
IRIS Networks,23,s5,2,1661506179553,16
IRIS Networks,23,s5,3,1661506198023,16
IRIS Networks,23,s5,4,1661506200541,16
IRIS Networks,23,s5,5,1661506252642,16
IRIS Networks,23,s11,1,1661506139040,2
IRIS Networks,23,s11,1,1661506139749,11
IRIS Networks,23,s11,2,1661506178862,11
IRIS Networks,23,s11,3,1661506198344,11
IRIS Networks,23,s11,3,1661506198568,12
IRIS Networks,23,s11,4,1661506200923,12
IRIS Networks,23,s11,4,1661506201187,13
IRIS Networks,23,s11,5,1661506252860,14
IRIS Networks,23,s11,5,1661506253368,16
IRIS Networks,23,s8,1,1661506139176,2
IRIS Networks,23,s8,1,1661506139721,11
IRIS Networks,23,s8,2,1661506178658,11
IRIS Networks,23,s8,2,1661506179095,12
IRIS Networks,23,s8,3,1661506198196,12
IRIS Networks,23,s8,4,1661506200682,12
IRIS Networks,23,s8,5,1661506252858,12
IRIS Networks,23,s8,5,1661506252973,13
