Topology,Try,Node,Sequence Number,Timestamp,States Count
GTSCE,1,s67,1,1664300172359,1
GTSCE,1,s67,1,1664300177612,38
GTSCE,1,s67,2,1664300378604,39
GTSCE,1,s123,1,1664300172540,1
GTSCE,1,s123,1,1664300177160,38
GTSCE,1,s114,1,1664300172604,1
GTSCE,1,s114,1,1664300176786,39
GTSCE,1,s114,2,1664300377638,40
GTSCE,1,s52,1,1664300171971,1
GTSCE,1,s52,1,1664300176427,38
GTSCE,1,s29,1,1664300172193,2
GTSCE,1,s29,1,1664300176334,38
GTSCE,1,s147,1,1664300172227,1
GTSCE,1,s147,1,1664300176465,38
GTSCE,1,s17,1,1664300171805,2
GTSCE,1,s17,1,1664300177348,38
GTSCE,1,s5,1,1664300171926,2
GTSCE,1,s5,1,1664300177458,38
GTSCE,1,s118,1,1664300171843,1
GTSCE,1,s118,1,1664300176270,38
GTSCE,1,s122,1,1664300172489,1
GTSCE,1,s122,1,1664300177015,38
GTSCE,1,s84,1,1664300172538,1
GTSCE,1,s84,1,1664300176672,38
GTSCE,1,s43,1,1664300172284,1
GTSCE,1,s43,1,1664300176248,38
GTSCE,1,s37,1,1664300172621,2
GTSCE,1,s37,1,1664300176916,38
GTSCE,1,s127,1,1664300172495,1
GTSCE,1,s127,1,1664300177281,38
GTSCE,1,s100,1,1664300171993,1
GTSCE,1,s100,1,1664300177021,39
GTSCE,1,s85,1,1664300172538,2
GTSCE,1,s85,1,1664300176670,38
GTSCE,1,s63,1,1664300172390,1
GTSCE,1,s63,1,1664300176523,39
GTSCE,1,s63,2,1664300377240,40
GTSCE,1,s63,2,1664300378682,44
GTSCE,1,s90,1,1664300172210,1
GTSCE,1,s90,1,1664300176408,38
GTSCE,1,s90,2,1664300377589,39
GTSCE,1,s90,2,1664300379422,59
GTSCE,1,s115,1,1664300172529,1
GTSCE,1,s115,1,1664300176658,39
GTSCE,1,s115,2,1664300378422,40
GTSCE,1,s115,3,1664300480670,41
GTSCE,1,s42,1,1664300172296,1
GTSCE,1,s42,1,1664300177267,38
GTSCE,1,s42,4,1664300582260,39
GTSCE,1,s10,1,1664300171851,1
GTSCE,1,s10,1,1664300177132,38
GTSCE,1,s28,1,1664300172105,1
GTSCE,1,s28,1,1664300176459,40
GTSCE,1,s82,1,1664300172012,1
GTSCE,1,s82,1,1664300176468,47
GTSCE,1,s109,1,1664300172525,2
GTSCE,1,s109,1,1664300177390,38
GTSCE,1,s88,1,1664300171977,1
GTSCE,1,s88,1,1664300176294,38
GTSCE,1,s53,1,1664300172203,2
GTSCE,1,s53,1,1664300176571,38
GTSCE,1,s48,1,1664300172427,1
GTSCE,1,s48,1,1664300177396,38
GTSCE,1,s73,1,1664300172416,2
GTSCE,1,s73,1,1664300176551,38
GTSCE,1,s73,2,1664300378160,39
GTSCE,1,s21,1,1664300172212,2
GTSCE,1,s21,1,1664300176031,38
GTSCE,1,s21,2,1664300378471,39
GTSCE,1,s33,1,1664300172487,2
GTSCE,1,s33,1,1664300176625,38
GTSCE,1,s33,2,1664300377463,39
GTSCE,1,s33,2,1664300379312,60
GTSCE,1,s138,1,1664300172336,1
GTSCE,1,s138,1,1664300176266,38
GTSCE,1,s138,2,1664300378139,39
GTSCE,1,s138,3,1664300480238,40
GTSCE,1,s138,3,1664300481241,43
GTSCE,1,s138,4,1664300582003,44
GTSCE,1,s138,4,1664300582797,49
GTSCE,1,s126,1,1664300172235,1
GTSCE,1,s126,1,1664300176534,38
GTSCE,1,s145,1,1664300172033,2
GTSCE,1,s145,1,1664300176551,54
GTSCE,1,s145,2,1664300377492,55
GTSCE,1,s137,1,1664300172354,2
GTSCE,1,s137,1,1664300176696,40
GTSCE,1,s143,1,1664300172069,1
GTSCE,1,s143,1,1664300176211,38
GTSCE,1,s139,1,1664300172211,1
GTSCE,1,s139,1,1664300176377,38
GTSCE,1,s131,1,1664300172405,1
GTSCE,1,s131,1,1664300176539,43
GTSCE,1,s131,2,1664300377352,44
GTSCE,1,s131,2,1664300378447,48
GTSCE,1,s132,1,1664300172268,1
GTSCE,1,s132,1,1664300176405,38
GTSCE,1,s132,2,1664300377221,39
GTSCE,1,s132,2,1664300378579,42
GTSCE,1,s132,3,1664300480740,43
GTSCE,1,s132,4,1664300582033,44
GTSCE,1,s35,1,1664300172474,1
GTSCE,1,s35,1,1664300176661,38
GTSCE,1,s140,1,1664300172156,1
GTSCE,1,s140,1,1664300176341,38
GTSCE,1,s55,1,1664300172143,1
GTSCE,1,s55,1,1664300176455,38
GTSCE,1,s92,1,1664300172109,1
GTSCE,1,s92,1,1664300177132,38
GTSCE,1,s92,2,1664300378030,39
GTSCE,1,s92,2,1664300379012,42
GTSCE,1,s92,3,1664300479906,43
GTSCE,1,s92,3,1664300480565,45
GTSCE,1,s92,4,1664300581356,46
GTSCE,1,s92,4,1664300581512,47
GTSCE,1,s31,1,1664300172614,1
GTSCE,1,s31,1,1664300177400,38
GTSCE,1,s81,1,1664300172013,2
GTSCE,1,s81,1,1664300176512,45
GTSCE,1,s40,1,1664300172293,1
GTSCE,1,s40,1,1664300176783,38
GTSCE,1,s124,1,1664300172283,1
GTSCE,1,s124,1,1664300176419,39
GTSCE,1,s124,2,1664300378293,40
GTSCE,1,s129,1,1664300172500,2
GTSCE,1,s129,1,1664300176907,38
GTSCE,1,s75,1,1664300172222,1
GTSCE,1,s75,1,1664300176459,38
GTSCE,1,s75,2,1664300377805,39
GTSCE,1,s130,1,1664300172216,1
GTSCE,1,s130,1,1664300176507,38
GTSCE,1,s130,2,1664300377581,39
GTSCE,1,s130,2,1664300379409,62
GTSCE,1,s130,3,1664300480505,63
GTSCE,1,s130,3,1664300481549,69
GTSCE,1,s130,4,1664300581726,70
GTSCE,1,s130,4,1664300582866,80
GTSCE,1,s80,1,1664300172122,1
GTSCE,1,s80,1,1664300176270,48
GTSCE,1,s80,2,1664300377651,49
GTSCE,1,s80,2,1664300379170,62
GTSCE,1,s113,1,1664300172106,2
GTSCE,1,s113,1,1664300176504,38
GTSCE,1,s3,1,1664300172481,1
GTSCE,1,s3,1,1664300176776,38
GTSCE,1,s15,1,1664300171755,1
GTSCE,1,s15,1,1664300177005,38
GTSCE,1,s25,1,1664300172138,2
GTSCE,1,s25,1,1664300176172,40
GTSCE,1,s144,1,1664300172336,1
GTSCE,1,s144,1,1664300176700,38
GTSCE,1,s50,1,1664300172617,1
GTSCE,1,s50,1,1664300177018,38
GTSCE,1,s136,1,1664300172225,1
GTSCE,1,s136,1,1664300176638,50
GTSCE,1,s77,1,1664300172656,2
GTSCE,1,s77,1,1664300177039,38
GTSCE,1,s36,1,1664300172207,1
GTSCE,1,s36,1,1664300176734,40
GTSCE,1,s36,2,1664300377668,41
GTSCE,1,s36,2,1664300379189,48
GTSCE,1,s112,1,1664300172242,1
GTSCE,1,s112,1,1664300176262,38
GTSCE,1,s112,4,1664300581173,39
GTSCE,1,s39,1,1664300172614,1
GTSCE,1,s39,1,1664300176907,38
GTSCE,1,s117,1,1664300172609,2
GTSCE,1,s117,1,1664300176923,39
GTSCE,1,s117,2,1664300376979,40
GTSCE,1,s117,2,1664300379192,52
GTSCE,1,s117,3,1664300479760,53
GTSCE,1,s117,3,1664300481236,59
GTSCE,1,s117,4,1664300581510,60
GTSCE,1,s117,4,1664300582605,71
GTSCE,1,s105,1,1664300172412,2
GTSCE,1,s105,1,1664300177380,38
GTSCE,1,s2,1,1664300172126,1
GTSCE,1,s2,1,1664300176883,38
GTSCE,1,s108,1,1664300172487,1
GTSCE,1,s108,1,1664300177276,38
GTSCE,1,s108,2,1664300378258,39
GTSCE,1,s65,1,1664300172362,2
GTSCE,1,s65,1,1664300177408,38
GTSCE,1,s79,1,1664300172336,1
GTSCE,1,s79,1,1664300176535,38
GTSCE,1,s79,2,1664300377612,39
GTSCE,1,s79,2,1664300379443,61
GTSCE,1,s44,1,1664300172402,1
GTSCE,1,s44,1,1664300176137,38
GTSCE,1,s141,1,1664300172089,2
GTSCE,1,s141,1,1664300176153,38
GTSCE,1,s11,1,1664300171915,1
GTSCE,1,s11,1,1664300177457,38
GTSCE,1,s57,1,1664300172426,2
GTSCE,1,s57,1,1664300176529,40
GTSCE,1,s13,1,1664300172491,2
GTSCE,1,s13,1,1664300176384,38
GTSCE,1,s56,1,1664300172256,1
GTSCE,1,s56,1,1664300176566,39
GTSCE,1,s148,1,1664300172344,1
GTSCE,1,s148,1,1664300176572,38
GTSCE,1,s133,1,1664300172115,2
GTSCE,1,s133,1,1664300176651,38
GTSCE,1,s34,1,1664300172328,1
GTSCE,1,s34,1,1664300176622,38
GTSCE,1,s34,2,1664300377010,39
