Topology,Try,Node,Sequence Number,Timestamp,States Count
GTSCE,1,s67,1,1664186674517,1
GTSCE,1,s67,1,1664186680336,42
GTSCE,1,s67,2,1664186880744,43
GTSCE,1,s67,2,1664186881866,48
GTSCE,1,s123,1,1664186674700,1
GTSCE,1,s123,1,1664186679879,40
GTSCE,1,s114,1,1664186674743,1
GTSCE,1,s114,1,1664186679518,43
GTSCE,1,s114,4,1664187084756,44
GTSCE,1,s52,1,1664186674187,1
GTSCE,1,s52,1,1664186678886,38
GTSCE,1,s29,1,1664186674411,2
GTSCE,1,s29,1,1664186679118,38
GTSCE,1,s147,1,1664186674457,1
GTSCE,1,s147,1,1664186679258,38
GTSCE,1,s17,1,1664186673933,2
GTSCE,1,s17,1,1664186680081,38
GTSCE,1,s5,1,1664186674122,2
GTSCE,1,s5,1,1664186680191,38
GTSCE,1,s118,1,1664186674059,1
GTSCE,1,s118,1,1664186678992,38
GTSCE,1,s122,1,1664186674625,1
GTSCE,1,s122,1,1664186679739,38
GTSCE,1,s84,1,1664186674732,1
GTSCE,1,s84,1,1664186679399,38
GTSCE,1,s43,1,1664186674468,1
GTSCE,1,s43,1,1664186678879,38
GTSCE,1,s37,1,1664186674756,2
GTSCE,1,s37,1,1664186679640,38
GTSCE,1,s127,1,1664186674635,1
GTSCE,1,s127,1,1664186680004,38
GTSCE,1,s127,4,1664187085751,39
GTSCE,1,s127,4,1664187086019,40
GTSCE,1,s100,1,1664186674119,1
GTSCE,1,s100,1,1664186679742,39
GTSCE,1,s85,1,1664186674729,2
GTSCE,1,s85,1,1664186679397,38
GTSCE,1,s63,1,1664186674571,1
GTSCE,1,s63,1,1664186679235,39
GTSCE,1,s63,2,1664186879809,40
GTSCE,1,s63,2,1664186880914,42
GTSCE,1,s63,3,1664186983441,43
GTSCE,1,s63,4,1664187085155,44
GTSCE,1,s90,1,1664186674379,1
GTSCE,1,s90,1,1664186679124,38
GTSCE,1,s90,2,1664186880473,39
GTSCE,1,s90,2,1664186881569,44
GTSCE,1,s90,3,1664186982880,45
GTSCE,1,s90,3,1664186983667,46
GTSCE,1,s90,4,1664187085018,47
GTSCE,1,s90,4,1664187086716,50
GTSCE,1,s115,1,1664186674723,1
GTSCE,1,s115,1,1664186679394,38
GTSCE,1,s115,2,1664186880088,39
GTSCE,1,s115,2,1664186880653,42
GTSCE,1,s115,3,1664186981968,43
GTSCE,1,s115,3,1664186983235,45
GTSCE,1,s115,4,1664187084422,46
GTSCE,1,s115,4,1664187086051,48
GTSCE,1,s42,1,1664186674427,1
GTSCE,1,s42,1,1664186679994,38
GTSCE,1,s42,2,1664186880887,39
GTSCE,1,s42,2,1664186880903,40
GTSCE,1,s42,3,1664186982663,41
GTSCE,1,s42,3,1664186983576,43
GTSCE,1,s42,4,1664187085264,44
GTSCE,1,s10,1,1664186674007,1
GTSCE,1,s10,1,1664186679854,38
GTSCE,1,s28,1,1664186674259,1
GTSCE,1,s28,1,1664186678762,42
GTSCE,1,s82,1,1664186674193,1
GTSCE,1,s82,1,1664186678867,44
GTSCE,1,s109,1,1664186674657,2
GTSCE,1,s109,1,1664186680116,39
GTSCE,1,s88,1,1664186674192,1
GTSCE,1,s88,1,1664186678998,38
GTSCE,1,s88,2,1664186880067,39
GTSCE,1,s53,1,1664186674424,2
GTSCE,1,s53,1,1664186679353,38
GTSCE,1,s48,1,1664186674558,1
GTSCE,1,s48,1,1664186680124,38
GTSCE,1,s73,1,1664186674607,2
GTSCE,1,s73,1,1664186679274,39
GTSCE,1,s73,2,1664186880464,40
GTSCE,1,s21,1,1664186674371,2
GTSCE,1,s21,1,1664186678751,42
GTSCE,1,s33,1,1664186674662,2
GTSCE,1,s33,1,1664186679336,41
GTSCE,1,s138,1,1664186674554,1
GTSCE,1,s138,1,1664186678998,40
GTSCE,1,s138,2,1664186880608,41
GTSCE,1,s138,2,1664186881718,52
GTSCE,1,s138,3,1664186982566,53
GTSCE,1,s138,3,1664186984232,67
GTSCE,1,s138,4,1664187084647,68
GTSCE,1,s138,4,1664187086754,74
GTSCE,1,s126,1,1664186674372,1
GTSCE,1,s126,1,1664186679263,38
GTSCE,1,s145,1,1664186674212,2
GTSCE,1,s145,1,1664186678774,45
GTSCE,1,s145,2,1664186880068,46
GTSCE,1,s137,1,1664186674570,2
GTSCE,1,s137,1,1664186679356,38
GTSCE,1,s143,1,1664186674288,1
GTSCE,1,s143,1,1664186678992,39
GTSCE,1,s139,1,1664186674432,1
GTSCE,1,s139,1,1664186678872,38
GTSCE,1,s131,1,1664186674596,1
GTSCE,1,s131,1,1664186679268,40
GTSCE,1,s131,2,1664186880464,41
GTSCE,1,s131,2,1664186880567,42
GTSCE,1,s132,1,1664186674453,1
GTSCE,1,s132,1,1664186679119,39
GTSCE,1,s132,2,1664186880798,40
GTSCE,1,s132,3,1664186982996,41
GTSCE,1,s132,3,1664186983344,42
GTSCE,1,s132,4,1664187086006,43
GTSCE,1,s35,1,1664186674602,1
GTSCE,1,s35,1,1664186679381,39
GTSCE,1,s35,2,1664186880756,40
GTSCE,1,s35,4,1664187085284,41
GTSCE,1,s140,1,1664186674335,1
GTSCE,1,s140,1,1664186678783,38
GTSCE,1,s55,1,1664186674295,1
GTSCE,1,s55,1,1664186679233,38
GTSCE,1,s92,1,1664186674249,1
GTSCE,1,s92,1,1664186679854,41
GTSCE,1,s92,2,1664186880212,42
GTSCE,1,s92,2,1664186881048,46
GTSCE,1,s92,3,1664186982126,47
GTSCE,1,s92,3,1664186982602,48
GTSCE,1,s92,4,1664187084805,49
GTSCE,1,s92,4,1664187085151,51
GTSCE,1,s31,1,1664186674757,1
GTSCE,1,s31,1,1664186680123,38
GTSCE,1,s81,1,1664186674192,2
GTSCE,1,s81,1,1664186678885,44
GTSCE,1,s81,3,1664186982237,45
GTSCE,1,s81,4,1664187084771,46
GTSCE,1,s40,1,1664186674453,1
GTSCE,1,s40,1,1664186679506,38
GTSCE,1,s124,1,1664186674465,1
GTSCE,1,s124,1,1664186679134,39
GTSCE,1,s129,1,1664186674676,2
GTSCE,1,s129,1,1664186679628,38
GTSCE,1,s75,1,1664186674448,1
GTSCE,1,s75,1,1664186679275,40
GTSCE,1,s75,2,1664186879524,41
GTSCE,1,s75,2,1664186881844,47
GTSCE,1,s75,3,1664186982885,48
GTSCE,1,s75,3,1664186984348,54
GTSCE,1,s75,4,1664187085982,55
GTSCE,1,s75,4,1664187086058,56
GTSCE,1,s130,1,1664186674353,1
GTSCE,1,s130,1,1664186679220,38
GTSCE,1,s80,1,1664186674303,1
GTSCE,1,s80,1,1664186678984,43
GTSCE,1,s80,2,1664186880617,44
GTSCE,1,s80,2,1664186881142,46
GTSCE,1,s80,4,1664187084645,47
GTSCE,1,s80,4,1664187084760,48
GTSCE,1,s113,1,1664186674319,2
GTSCE,1,s113,1,1664186679112,38
GTSCE,1,s113,2,1664186880930,39
GTSCE,1,s113,2,1664186880937,40
GTSCE,1,s113,3,1664186982544,41
GTSCE,1,s113,3,1664186983476,42
GTSCE,1,s3,1,1664186674617,1
GTSCE,1,s3,1,1664186679500,38
GTSCE,1,s15,1,1664186673882,1
GTSCE,1,s15,1,1664186679734,38
GTSCE,1,s25,1,1664186674325,2
GTSCE,1,s25,1,1664186678886,38
GTSCE,1,s144,1,1664186674556,1
GTSCE,1,s144,1,1664186679484,38
GTSCE,1,s50,1,1664186674793,1
GTSCE,1,s50,1,1664186679743,38
GTSCE,1,s136,1,1664186674441,1
