Topology,Try,Node,Sequence Number,Timestamp,States Count
IRISNetworks,1,s24,1,1663923535173,2
IRISNetworks,1,s24,1,1663923537968,46
IRISNetworks,1,s24,2,1663923653733,47
IRISNetworks,1,s24,2,1663923654819,49
IRISNetworks,1,s24,3,1663923712815,50
IRISNetworks,1,s24,3,1663923712870,51
IRISNetworks,1,s24,4,1663923770805,52
IRISNetworks,1,s24,4,1663923770939,54
IRISNetworks,1,s22,1,1663923535537,2
IRISNetworks,1,s22,1,1663923538086,46
IRISNetworks,1,s26,1,1663923535301,2
IRISNetworks,1,s26,1,1663923538094,46
IRISNetworks,1,s26,2,1663923653491,47
IRISNetworks,1,s26,2,1663923656100,48
IRISNetworks,1,s26,3,1663923714411,49
IRISNetworks,1,s23,1,1663923535421,2
IRISNetworks,1,s23,1,1663923537972,46
IRISNetworks,1,s20,1,1663923535359,2
IRISNetworks,1,s20,1,1663923538343,46
IRISNetworks,1,s2,1,1663923534913,2
IRISNetworks,1,s2,1,1663923537990,46
IRISNetworks,1,s3,1,1663923535032,2
IRISNetworks,1,s3,1,1663923537423,5
IRISNetworks,1,s31,1,1663923535308,2
IRISNetworks,1,s31,1,1663923537859,46
IRISNetworks,1,s33,1,1663923535053,2
IRISNetworks,1,s33,1,1663923537606,46
IRISNetworks,1,s49,1,1663923535295,2
IRISNetworks,1,s49,1,1663923537388,46
IRISNetworks,1,s43,1,1663923535034,2
IRISNetworks,1,s43,1,1663923537542,5
IRISNetworks,1,s35,1,1663923535047,2
IRISNetworks,1,s35,1,1663923537990,46
IRISNetworks,1,s35,2,1663923653631,47
IRISNetworks,1,s35,3,1663923713387,48
IRISNetworks,1,s19,1,1663923535230,2
IRISNetworks,1,s19,1,1663923538217,46
IRISNetworks,1,s27,1,1663923535175,2
IRISNetworks,1,s27,1,1663923537976,46
IRISNetworks,1,s27,2,1663923653145,47
IRISNetworks,1,s27,2,1663923654851,49
IRISNetworks,1,s27,3,1663923712785,50
IRISNetworks,1,s27,4,1663923770656,51
IRISNetworks,1,s10,1,1663923534927,2
IRISNetworks,1,s10,1,1663923537994,46
IRISNetworks,1,s10,2,1663923653054,47
IRISNetworks,1,s10,2,1663923656469,81
IRISNetworks,1,s15,1,1663923535111,2
IRISNetworks,1,s15,1,1663923538097,46
IRISNetworks,1,s7,1,1663923534980,2
IRISNetworks,1,s7,1,1663923538108,46
IRISNetworks,1,s7,2,1663923653749,47
IRISNetworks,1,s29,1,1663923535297,2
IRISNetworks,1,s29,1,1663923538085,46
IRISNetworks,1,s29,2,1663923653849,47
IRISNetworks,1,s29,2,1663923656340,51
IRISNetworks,1,s29,3,1663923713610,52
IRISNetworks,1,s29,3,1663923714695,54
IRISNetworks,1,s29,4,1663923769983,55
IRISNetworks,1,s1,1,1663923534974,2
IRISNetworks,1,s1,1,1663923537863,46
IRISNetworks,1,s1,2,1663923653622,47
IRISNetworks,1,s1,2,1663923654003,48
IRISNetworks,1,s9,1,1663923535220,2
IRISNetworks,1,s9,1,1663923538342,46
IRISNetworks,1,s45,1,1663923535541,2
IRISNetworks,1,s45,1,1663923537552,46
IRISNetworks,1,s21,1,1663923535481,2
IRISNetworks,1,s21,1,1663923538452,46
IRISNetworks,1,s25,1,1663923535297,2
IRISNetworks,1,s25,1,1663923538087,46
IRISNetworks,1,s47,1,1663923535310,2
IRISNetworks,1,s47,1,1663923537604,46
IRISNetworks,1,s6,1,1663923535098,2
IRISNetworks,1,s6,1,1663923538224,46
IRISNetworks,1,s40,1,1663923535304,2
IRISNetworks,1,s40,1,1663923537508,46
IRISNetworks,1,s50,1,1663923535421,2
IRISNetworks,1,s50,1,1663923537443,46
IRISNetworks,1,s44,1,1663923535545,2
IRISNetworks,1,s44,1,1663923537493,46
IRISNetworks,1,s44,4,1663923771212,47
IRISNetworks,1,s46,1,1663923535424,2
IRISNetworks,1,s46,1,1663923537600,46
IRISNetworks,1,s41,1,1663923535418,2
IRISNetworks,1,s41,1,1663923537621,46
IRISNetworks,1,s51,1,1663923535043,2
IRISNetworks,1,s51,1,1663923537156,5
IRISNetworks,1,s18,1,1663923535045,2
IRISNetworks,1,s18,1,1663923538103,46
IRISNetworks,1,s18,2,1663923652936,47
IRISNetworks,1,s18,2,1663923655173,49
IRISNetworks,1,s12,1,1663923535535,2
IRISNetworks,1,s12,1,1663923538325,46
IRISNetworks,1,s30,1,1663923535174,2
IRISNetworks,1,s30,1,1663923537725,46
IRISNetworks,1,s30,2,1663923654447,47
IRISNetworks,1,s30,2,1663923654815,48
IRISNetworks,1,s30,3,1663923712573,49
IRISNetworks,1,s30,3,1663923712921,51
IRISNetworks,1,s30,4,1663923770549,52
IRISNetworks,1,s30,4,1663923770737,53
IRISNetworks,1,s5,1,1663923535218,2
IRISNetworks,1,s5,1,1663923538340,46
IRISNetworks,1,s17,1,1663923535044,2
IRISNetworks,1,s17,1,1663923537991,46
IRISNetworks,1,s32,1,1663923535049,2
IRISNetworks,1,s32,1,1663923537850,46
IRISNetworks,1,s48,1,1663923535182,2
IRISNetworks,1,s48,1,1663923537480,46
IRISNetworks,1,s36,1,1663923534928,2
IRISNetworks,1,s36,1,1663923537993,46
IRISNetworks,1,s36,2,1663923653752,47
IRISNetworks,1,s36,2,1663923654130,48
IRISNetworks,1,s28,1,1663923535410,2
IRISNetworks,1,s28,1,1663923537982,46
IRISNetworks,1,s11,1,1663923535303,2
IRISNetworks,1,s11,1,1663923537854,46
IRISNetworks,1,s42,1,1663923535047,2
IRISNetworks,1,s42,1,1663923537426,5
IRISNetworks,1,s13,1,1663923535412,2
IRISNetworks,1,s13,1,1663923538202,46
IRISNetworks,1,s16,1,1663923535181,2
IRISNetworks,1,s16,1,1663923538125,46
IRISNetworks,1,s37,1,1663923534918,2
IRISNetworks,1,s37,1,1663923537988,46
IRISNetworks,1,s37,2,1663923653499,47
IRISNetworks,1,s37,2,1663923655003,48
IRISNetworks,1,s37,3,1663923713278,49
IRISNetworks,1,s34,1,1663923534929,2
IRISNetworks,1,s34,1,1663923537730,46
IRISNetworks,1,s34,2,1663923653637,47
IRISNetworks,1,s8,1,1663923535109,2
IRISNetworks,1,s8,1,1663923538234,46
IRISNetworks,1,s14,1,1663923535058,2
IRISNetworks,1,s14,1,1663923537863,46
IRISNetworks,1,s39,1,1663923535183,2
IRISNetworks,1,s39,1,1663923537612,46
IRISNetworks,1,s38,1,1663923535310,2
IRISNetworks,1,s38,1,1663923537718,46
IRISNetworks,2,s24,1,1663931064481,2
IRISNetworks,2,s24,1,1663931067364,51
IRISNetworks,2,s24,2,1663931184048,52
IRISNetworks,2,s24,2,1663931184754,53
IRISNetworks,2,s24,3,1663931242186,54
IRISNetworks,2,s24,3,1663931243060,55
IRISNetworks,2,s22,1,1663931064847,2
IRISNetworks,2,s22,1,1663931067732,51
IRISNetworks,2,s26,1,1663931064609,2
IRISNetworks,2,s26,1,1663931067490,51
IRISNetworks,2,s26,3,1663931243719,52
IRISNetworks,2,s23,1,1663931064731,2
IRISNetworks,2,s23,1,1663931067619,51
IRISNetworks,2,s20,1,1663931064663,2
IRISNetworks,2,s20,1,1663931067683,51
IRISNetworks,2,s2,1,1663931064225,2
IRISNetworks,2,s2,1,1663931067321,51
IRISNetworks,2,s4,1,1663931064224,2
IRISNetworks,2,s4,1,1663931067317,51
IRISNetworks,2,s3,1,1663931064341,2
IRISNetworks,2,s3,1,1663931067433,51
IRISNetworks,2,s31,1,1663931064619,2
IRISNetworks,2,s31,1,1663931067504,51
IRISNetworks,2,s33,1,1663931064365,2
IRISNetworks,2,s33,1,1663931067254,51
IRISNetworks,2,s49,1,1663931064607,2
IRISNetworks,2,s49,1,1663931067491,51
IRISNetworks,2,s43,1,1663931064346,2
IRISNetworks,2,s43,1,1663931067554,51
IRISNetworks,2,s35,1,1663931064361,2
IRISNetworks,2,s35,1,1663931067328,51
IRISNetworks,2,s35,2,1663931184470,52
IRISNetworks,2,s19,1,1663931064536,2
IRISNetworks,2,s19,1,1663931067552,51
IRISNetworks,2,s27,1,1663931064492,2
IRISNetworks,2,s27,1,1663931067377,51
IRISNetworks,2,s27,2,1663931183883,52
IRISNetworks,2,s27,2,1663931184221,53
IRISNetworks,2,s27,3,1663931242438,54
IRISNetworks,2,s10,1,1663931064238,2
IRISNetworks,2,s10,1,1663931067330,51
IRISNetworks,2,s15,1,1663931064413,2
IRISNetworks,2,s15,1,1663931067433,51
IRISNetworks,2,s7,1,1663931064286,2
IRISNetworks,2,s7,1,1663931067444,51
IRISNetworks,2,s7,2,1663931182727,52
IRISNetworks,2,s29,1,1663931064601,2
IRISNetworks,2,s29,1,1663931067485,51
IRISNetworks,2,s29,2,1663931183085,52
IRISNetworks,2,s29,2,1663931185721,56
IRISNetworks,2,s29,3,1663931242920,57
IRISNetworks,2,s29,3,1663931243991,58
IRISNetworks,2,s29,4,1663931301071,59
IRISNetworks,2,s29,4,1663931301196,60
IRISNetworks,2,s1,1,1663931064283,2
IRISNetworks,2,s1,1,1663931067200,51
IRISNetworks,2,s9,1,1663931064505,2
IRISNetworks,2,s9,1,1663931067681,51
IRISNetworks,2,s45,1,1663931064852,2
IRISNetworks,2,s45,1,1663931067736,51
IRISNetworks,2,s21,1,1663931064790,2
IRISNetworks,2,s21,1,1663931067790,51
IRISNetworks,2,s25,1,1663931064603,2
IRISNetworks,2,s25,1,1663931067483,51
IRISNetworks,2,s47,1,1663931064622,2
IRISNetworks,2,s47,1,1663931067506,51
IRISNetworks,2,s6,1,1663931064401,2
IRISNetworks,2,s6,1,1663931067561,51
IRISNetworks,2,s40,1,1663931064610,2
IRISNetworks,2,s40,1,1663931067497,51
IRISNetworks,2,s50,1,1663931064732,2
IRISNetworks,2,s50,1,1663931067613,51
IRISNetworks,2,s44,1,1663931064857,2
IRISNetworks,2,s44,1,1663931067738,51
IRISNetworks,2,s44,4,1663931300798,52
IRISNetworks,2,s46,1,1663931064734,2
IRISNetworks,2,s46,1,1663931067617,51
IRISNetworks,2,s41,1,1663931064726,2
IRISNetworks,2,s41,1,1663931067614,51
IRISNetworks,2,s51,1,1663931064357,2
IRISNetworks,2,s51,1,1663931067566,51
IRISNetworks,2,s18,1,1663931064358,2
IRISNetworks,2,s18,1,1663931067437,51
IRISNetworks,2,s12,1,1663931064843,2
IRISNetworks,2,s12,1,1663931067720,51
IRISNetworks,2,s30,1,1663931064486,2
IRISNetworks,2,s30,1,1663931067371,51
IRISNetworks,2,s30,2,1663931183462,52
IRISNetworks,2,s30,2,1663931183984,54
IRISNetworks,2,s30,3,1663931242177,55
IRISNetworks,2,s30,4,1663931299886,56
IRISNetworks,2,s30,4,1663931300507,59
IRISNetworks,2,s5,1,1663931064501,2
IRISNetworks,2,s5,1,1663931067682,51
IRISNetworks,2,s17,1,1663931064353,2
IRISNetworks,2,s17,1,1663931067327,51
IRISNetworks,2,s32,1,1663931064363,2
IRISNetworks,2,s32,1,1663931067248,51
IRISNetworks,2,s48,1,1663931064493,2
IRISNetworks,2,s48,1,1663931067379,51
IRISNetworks,2,s36,1,1663931064237,2
IRISNetworks,2,s36,1,1663931067341,51
IRISNetworks,2,s36,2,1663931183311,52
IRISNetworks,2,s28,1,1663931064714,2
IRISNetworks,2,s28,1,1663931067591,51
IRISNetworks,2,s11,1,1663931064614,2
IRISNetworks,2,s11,1,1663931067500,51
IRISNetworks,2,s42,1,1663931064359,2
IRISNetworks,2,s42,1,1663931067569,51
IRISNetworks,2,s13,1,1663931064720,2
IRISNetworks,2,s13,1,1663931067600,51
IRISNetworks,2,s16,1,1663931064490,2
IRISNetworks,2,s16,1,1663931067460,51
IRISNetworks,2,s37,1,1663931064232,2
IRISNetworks,2,s37,1,1663931067324,51
IRISNetworks,2,s34,1,1663931064241,2
IRISNetworks,2,s34,1,1663931067131,51
IRISNetworks,2,s8,1,1663931064416,2
IRISNetworks,2,s8,1,1663931067572,51
IRISNetworks,2,s8,2,1663931182462,52
IRISNetworks,2,s8,2,1663931186091,98
IRISNetworks,2,s14,1,1663931064375,2
