Topology,Try,Node,Sequence Number,Timestamp,States Count
China Telecom,1,s24,1,1656873417094,1
China Telecom,1,s24,1,1656873419469,63
China Telecom,1,s24,2,1656873469401,64
China Telecom,1,s24,2,1656873471720,126
China Telecom,1,s24,3,1656873514556,127
China Telecom,1,s24,3,1656873517059,188
China Telecom,1,s22,1,1656873417366,1
China Telecom,1,s22,1,1656873419662,42
China Telecom,1,s22,2,1656873469675,43
China Telecom,1,s22,2,1656873471897,84
China Telecom,1,s22,3,1656873514838,85
China Telecom,1,s22,3,1656873517252,126
China Telecom,1,s26,1,1656873417128,1
China Telecom,1,s26,1,1656873419412,58
China Telecom,1,s26,2,1656873469431,59
China Telecom,1,s26,2,1656873471643,114
China Telecom,1,s26,3,1656873514589,115
China Telecom,1,s26,3,1656873516999,170
China Telecom,1,s23,1,1656873417321,1
China Telecom,1,s23,1,1656873419604,52
China Telecom,1,s23,2,1656873469623,53
China Telecom,1,s23,2,1656873471838,104
China Telecom,1,s23,3,1656873514781,105
China Telecom,1,s23,3,1656873517193,156
China Telecom,1,s20,1,1656873417084,1
China Telecom,1,s20,1,1656873419395,52
China Telecom,1,s20,2,1656873469394,53
China Telecom,1,s20,2,1656873471638,103
China Telecom,1,s20,3,1656873514550,104
China Telecom,1,s20,3,1656873516986,153
China Telecom,1,s2,1,1656873417033,1
China Telecom,1,s2,1,1656873419351,70
China Telecom,1,s2,2,1656873469343,71
China Telecom,1,s2,2,1656873471570,138
China Telecom,1,s2,3,1656873514501,139
China Telecom,1,s2,3,1656873516916,192
China Telecom,1,s4,1,1656873417195,1
China Telecom,1,s4,1,1656873419572,50
China Telecom,1,s4,2,1656873469508,51
China Telecom,1,s4,2,1656873471826,101
China Telecom,1,s4,3,1656873514668,102
China Telecom,1,s4,3,1656873517166,151
China Telecom,1,s3,1,1656873417266,1
China Telecom,1,s3,1,1656873419592,70
China Telecom,1,s3,2,1656873469574,71
China Telecom,1,s3,2,1656873471837,138
China Telecom,1,s3,3,1656873514729,139
China Telecom,1,s3,3,1656873517147,206
China Telecom,1,s31,1,1656873417178,1
China Telecom,1,s31,1,1656873419483,46
China Telecom,1,s31,2,1656873469479,47
China Telecom,1,s31,2,1656873471722,92
China Telecom,1,s31,3,1656873514640,93
China Telecom,1,s31,3,1656873517073,138
China Telecom,1,s33,1,1656873416972,1
China Telecom,1,s33,1,1656873419282,53
China Telecom,1,s33,2,1656873469275,54
China Telecom,1,s33,2,1656873471525,105
China Telecom,1,s33,3,1656873514436,106
China Telecom,1,s33,3,1656873516876,157
China Telecom,1,s35,1,1656873417204,1
China Telecom,1,s35,1,1656873419515,52
China Telecom,1,s35,2,1656873469511,53
China Telecom,1,s35,2,1656873471761,103
China Telecom,1,s35,3,1656873514671,104
China Telecom,1,s35,3,1656873517106,153
China Telecom,1,s19,1,1656873416989,1
China Telecom,1,s19,1,1656873419277,56
China Telecom,1,s19,2,1656873469298,57
China Telecom,1,s19,2,1656873471510,110
China Telecom,1,s19,3,1656873514456,111
China Telecom,1,s19,3,1656873516866,164
China Telecom,1,s27,1,1656873417197,1
China Telecom,1,s27,1,1656873419497,46
China Telecom,1,s27,2,1656873469498,47
China Telecom,1,s27,2,1656873471743,92
China Telecom,1,s27,3,1656873514654,93
China Telecom,1,s27,3,1656873517088,138
China Telecom,1,s10,1,1656873417126,1
China Telecom,1,s10,1,1656873419430,46
China Telecom,1,s10,2,1656873469431,47
China Telecom,1,s10,2,1656873471676,92
China Telecom,1,s10,3,1656873514585,93
China Telecom,1,s10,3,1656873517020,138
China Telecom,1,s15,1,1656873417242,1
China Telecom,1,s15,1,1656873419658,50
China Telecom,1,s15,2,1656873469670,51
China Telecom,1,s15,2,1656873471897,91
China Telecom,1,s15,3,1656873514829,92
China Telecom,1,s15,3,1656873517251,132
China Telecom,1,s7,1,1656873417100,1
China Telecom,1,s7,1,1656873419411,44
China Telecom,1,s7,2,1656873469409,45
China Telecom,1,s7,2,1656873471644,88
China Telecom,1,s7,3,1656873514567,89
China Telecom,1,s7,3,1656873517001,132
China Telecom,1,s29,1,1656873417146,1
China Telecom,1,s29,1,1656873419449,42
China Telecom,1,s29,2,1656873469461,43
China Telecom,1,s29,2,1656873471684,84
China Telecom,1,s29,3,1656873514622,85
China Telecom,1,s29,3,1656873517038,126
China Telecom,1,s1,1,1656873417116,1
China Telecom,1,s1,1,1656873419274,50
China Telecom,1,s1,2,1656873469393,51
China Telecom,1,s1,2,1656873471530,101
China Telecom,1,s1,3,1656873514560,102
China Telecom,1,s1,3,1656873516875,151
China Telecom,1,s9,1,1656873417028,1
China Telecom,1,s9,1,1656873419335,46
China Telecom,1,s9,2,1656873469334,47
China Telecom,1,s9,2,1656873471579,92
China Telecom,1,s9,3,1656873514490,93
China Telecom,1,s9,3,1656873516926,138
China Telecom,1,s21,1,1656873417227,1
China Telecom,1,s21,1,1656873419600,63
China Telecom,1,s21,2,1656873469531,64
China Telecom,1,s21,2,1656873471857,126
China Telecom,1,s21,3,1656873514686,127
